bm_unit,national_grid_bm_unit,eic,bm_unit_name,lead_party,bm_unit_type,generation_capacity_mw,gsp_group_id,north_of_b6,side_of_b6,side_grade,side_basis,queryable,bid_paid_gbp_015
T_HRSTW-1,HRSTW-1,48W00000HRSTW-19,Harestanes,SP Renewables (UK) Limited,T,142.300,,True,north,B,TEC register row 'Harestanes' hosted by SPT,True,
T_KENNW-1,KENNW-1,,Kennoxhead Wind Farm,Kennoxhead Wind Farm Limited,T,60.000,,True,north,B,TEC register row 'Kennoxhead Wind Farm Extension' hosted by SPT,True,32892.978198020159524615
T_KILBW-1,KILBW-1,48W00000KILBW-1W,KILBW,Kilbraur Wind Energy Ltd,T,68.510,,False,unknown,-,no graded evidence,True,30158.204866956110663524
T_KLGLW-1,KLGLW-1,48W00000KLGLW-1S,Kilgallioch Windfarm,SP Renewables (UK) Limited,T,228.000,,False,unknown,-,no graded evidence,True,
T_KPMRW-1,KPMRW-1,,KYPE MUIR WIND FARM,OnPath Energy Limited,T,89.000,,True,north,B,TEC register row 'Kype Muir' hosted by SPT,True,39466.291356618133406185
T_KTHLW-1,KTHLW-1,,KEITH HILL WINDFARM,Statkraft Markets Gmbh,T,4.540,,True,north,B,TEC register row 'Keith Hill Wind Farm' hosted by SPT,True,
T_KYPEW-1,KYPEW-1,,KYPE MUIR EXT WIND FARM,Kype Extension Wind Farm Ltd,T,67.000,,False,unknown,-,no graded evidence,True,
T_LARYW-1,LARYO-1,48W00000LARYO-1Z,London Array BMU1,London Array Limited,T,171.000,,False,unknown,-,no graded evidence,True,
T_LARYW-2,LARYO-2,48W00000LARYO-2X,London Array BMU2,London Array Limited,T,171.000,,False,unknown,-,no graded evidence,True,
T_LARYW-3,LARYO-3,48W00000LARYO-3V,London Array BMU3,London Array Limited,T,171.000,,False,unknown,-,no graded evidence,True,
T_LARYW-4,LARYO-4,48W00000LARYO-4T,London Array BMU4,London Array Limited,T,191.099,,False,unknown,-,no graded evidence,True,
T_LCLTW-1,LCLTW-1,48W00000LCLTW-1D,Lochluichart Windfarm,Eneco Energy Trade,T,69.000,,True,north,B,TEC register row 'Lochluichart' hosted by SHET,True,39728.992623844047280102
T_LIMKW-1,LIMKW-1,48W00000LIMKW-1A,Limekiln Wind Farm,Limekiln Extension Ltd,T,106.000,,True,north,B,TEC register row 'Limekiln' hosted by SHET,True,59770.915366499999322513
T_LNCSW-1,LNCSO-1,48W00000LNCSO-1R,Lincs wind farm offshore BMU1,Lincs Wind Farm Ltd,T,150.000,,False,unknown,-,no graded evidence,True,
T_LNCSW-2,LNCSO-2,48W00000LNCSO-2P,Lincs wind farm offshore BMU2,Lincs Wind Farm Ltd,T,150.000,,False,unknown,-,no graded evidence,True,
T_MIDMW-1,MIDMW-1,48W00000MIDMW-19,MIDDLE MUIR WIND FARM,OnPath Energy Limited,T,51.000,,True,north,B,TEC register row 'Middle Muir Wind Farm' hosted by SPT,True,26786.540766724933178014
T_MILWW-1,MILWW-1,48W00000MILWW-1M,MILWW,Millennium Wind Energy Ltd,T,65.000,,False,unknown,-,no graded evidence,True,
T_MKHLW-1,MKHLW-1,48W00000MKHLW-1D,Mark Hill,SP Renewables (UK) Limited,T,53.000,,True,north,B,TEC register row 'Mark Hill Wind Farm' hosted by SPT,True,
T_MOWEO-1,MOWEO-1,48W000000MOWEO11,Moray East OWF1,Moray Offshore Wind East Ltd,T,300.000,,False,unknown,-,no graded evidence,True,67067.605650955001237888
