bm_unit,national_grid_bm_unit,eic,bm_unit_name,lead_party,bm_unit_type,generation_capacity_mw,gsp_group_id,north_of_b6,side_of_b6,side_grade,side_basis,queryable,bid_paid_gbp_015
E_ABRTW-1,ABRTW-1,48W00000ABRTW-1Z,Auchrobert Wind Farm,Npower Commercial Gas Limited,E,36.000,_N,True,north,B,TEC register row 'Auchrobert Wind Farm' hosted by SPT,True,
E_AIRSW-1,AIRSW-1,,Airies,ENGIE Power Limited,E,38.000,_N,True,north,B,TEC register row 'Airies Wind Farm' hosted by SPT,True,
E_ASHWW-1,ASHWW-1,48W00000ASHWW-1Z,Andershaw Wind Farm,Statkraft Markets Gmbh,E,35.000,_N,True,north,B,TEC register row 'Andershaw Wind Farm' hosted by SPT,True,
E_ASLVW-1,ASLVW-1,,Assel Valley Wind Farm,Npower Commercial Gas Limited,E,26.000,_N,True,north,C,GSP group _N,True,
E_BABAW-1,BABAW-1,48W00000BABAW-13,Baillie Wind Farm,Statkraft Markets Gmbh,E,52.500,_P,True,north,B,TEC register row 'Baillie Greener Grid Park' hosted by SHET,True,18450.013178982883459867
E_BETHW-1,BETHW-1,48W00000BETHW-1H,BETHW-1,SP Renewables (UK) Limited,E,29.750,_P,True,north,C,GSP group _P,True,
E_BLARW-1,BLARW-1,,E_BLARW-1,Erova Energy Limited,E,35.000,_P,True,north,C,GSP group _P,True,
E_BNWKW-1,BNWKW-1,48W00000BNWKW-1W,Burn of Whilk Windfarm,Eneco Energy Trade,E,22.500,_P,True,north,B,TEC register row 'Burn of Whilk Wind Farm' hosted by SHET,True,
E_BRDUW-1,BRDUW-1,48W00000BRDUW-1V,Braes of Doune,Erova Energy Limited,E,74.000,_P,True,north,B,TEC register row 'Braes of Doune' hosted by SHET,True,
E_BRNLW-1,BRNLW-1,,Brownieleys,ENGIE Power Limited,E,7.500,_P,True,north,B,TEC register row 'Brownieleys' hosted by SHET,True,
E_BRYBW-1,BRYBW-1,48W00000BRYBW-10,Berry Burn Wind Farm,Statkraft Markets Gmbh,E,62.708,_P,True,north,B,TEC register row 'Berry Burn Wind Farm' hosted by SHET,True,
E_BTUIW-2,BTUIW-2,48W00000BTUIW-2A,Beinn An Tuirc 2,SP Renewables (UK) Limited,E,43.700,_P,True,north,B,TEC register row 'Beinn an Tuirc 2' hosted by SHET,True,
E_BTUIW-3,BTUIW-3,,Beinn an Tuirc III Windfarm,SP Renewables (UK) Limited,E,52.000,_P,True,north,C,GSP group _P,True,12079.339812540000423276
E_BURBO,BURBW-1,48W00000BURBW-1L,Burbo Offshore Wind,Orsted Burbo (UK) Limited,E,90.000,_D,False,south,B,TEC register row 'Burbo Bank Offshore Wind Farm' hosted by NGET,True,
E_CLDRW-1,CLDRW-1,48W00000CLDRW-16,CLDRW-1,Vattenfall Energy Trading,E,39.000,_P,True,north,C,GSP group _P,True,
E_CLFLW-1,CLFLW-1,48W00000CLFLW-1O,Clachan Flats,SP Renewables (UK) Limited,E,15.000,_P,True,north,C,GSP group _P,True,
E_CMSTW-2,CMSTW-2,,Camster II,Edgware Energy Limited,E,36.000,_P,True,north,C,GSP group _P,True,13182.467201135999744111
E_CNCLW-1,CNCLW-1,,Coire Na Cloiche WF,Statkraft Markets Gmbh,E,30.520,_P,True,north,B,TEC register row 'Coire Na Cloiche' hosted by SHET,True,
E_CRGTW-1,CRGTW-1,,Craig 2 Wind Farm,British Gas Trading Ltd,E,4.700,_N,True,north,C,GSP group _N,True,
E_DALSW-1,DALSW-1,48W00000DALSW-1M,Dalswinton Windfarm,Mobius Renewables Gen. (GB),E,30.000,_N,True,north,B,TEC register row 'Dalswinton' hosted by SPT,True,
E_GDSTW-1,GDSTW-1,48W00000GDSTW-14,Gordonstown,Mobius Renewables Gen. (GB),E,13.289,_P,True,north,B,TEC register row 'Gordonstown Hill Wind Farm' hosted by SHET,True,
E_GLCHW-1,GLCHW-1,,Glenchamber,ENGIE Power Limited,E,27.440,_N,True,north,B,TEC register row 'Glenchamber Wind Farm' hosted by SPT,True,
E_GLOFW-1,GLOFW-1,48W00000GLOFW-15,Glens of Foudland,Glens of Foudland Ltd,E,26.700,_P,True,north,B,TEC register row 'Glens of Foudland Wind (SRO)' hosted by SHET,True,
E_GRGRW-1,GRGRW-1,,Greengairs East WF-1,Evolve Energy Supply Limited,E,37.649,_N,True,north,C,GSP group _N,True,51610.851099499997189922
E_HBHDW-1,HBHDW-1,48W00000HBHDW-18,HARBURNHEADWF,LDV Harburnhead Ltd,E,51.700,_N,True,north,C,GSP group _N,True,
E_HLGLW-1,HLGLW-1,48W00000HLGLW-1F,Hill of Glaschyle,ENGIE Power Limited,E,28.000,_P,True,north,B,TEC register row 'Hill of Glaschyle' hosted by SHET,True,
E_HLTWW-1,HLTWW-1,48W00000HLTWW-1U,Hill of Towie,ScottishPower Energy Retail,E,48.000,_P,True,north,B,TEC register row 'Hill of Towie/Drummuir' hosted by SHET,True,
E_HRHLW-1,HRHLW-1,,Hare Hill Extension Windfarm,SP Renewables (UK) Limited,E,30.000,_N,True,north,B,TEC register row 'Hare Hill Extension Wind Farm' hosted by SPT,True,28426.563192070633348867
E_HYWDW-1,HYWDW-1,48W00000HYWDW-1G,Hywind Generator BMU1,HYWINDSC,E,30.000,_P,True,north,C,GSP group _P,True,
E_KHLLW-1,KHLLW-1,48W00000KHLLW-1Q,Kirk Hill WF,Unify Energy Limited,E,18.800,_N,True,north,B,TEC register row 'Kirk Hill' hosted by SPT,True,
E_KINCW-1,KINCW-1,48W00000KINCW-1F,Kincardine Offshore Windfarm,Statkraft Markets Gmbh,E,49.600,_P,True,north,B,TEC register row 'Kincardine Offshore Wind Farm' hosted by SHET,True,
E_MINSW-1,MINSW-1,48W00000MINSW-1U,Minsca Wind Farm,Mobius Renewables Gen. (GB),E,38.123,_N,True,north,B,TEC register row 'Minsca' hosted by SPT,True,
E_MOYEW-1,MOYEW-1,,Moy Windfarm,Eneco Energy Trade,E,60.000,_P,True,north,B,TEC register row 'Moy Wind Farm' hosted by SHET,True,
E_PIBUW-1,PIBUW-1,,Pines Burn Wind Farm,Npower Commercial Gas Limited,E,36.000,_N,True,north,C,GSP group _N,True,
E_STRHW-1,STRHW-1,48X000000000433Q,Strathrory Wind Farm,ENGIE Power Limited,E,36.667,_P,True,north,B,TEC register row 'Strathrory Wind Farm' hosted by SHET,True,
E_SWBKW-1,SWBKW-1,,Solwaybank WF,Vattenfall Energy Trading,E,34.000,_N,True,north,B,TEC register row 'Solwaybank' hosted by SPT,True,
E_TLYMW-1,TLYMW-1,48W00000TLYMW-1S,Tullymurdoch Wind Farm,EDF Energy Customers Limited,E,13.856,_P,True,north,C,GSP group _P,True,
E_TULWW-1,TULWW-1,48W00000TULWW-1U,Tullo Windfarm,Eneco Energy Trade,E,17.000,_P,True,north,B,TEC register row 'Tullo Wind Farm' hosted by SHET,True,
E_TULWW-2,TULWW-2,48W00000TULWW-2S,Tullo Extension,Eneco Energy Trade,E,25.000,_P,True,north,B,TEC register row 'Twinshiels (Tullo 2) Wind Farm' hosted by SHET,True,
T_ABRBO-1,ABRBO-1,48W00000ABRBO-19,ABRBO-1,Aberdeen Offshore Wind Farm,T,99.000,,False,unknown,-,no graded evidence,True,
T_ACHRW-1,ACHRW-1,48W00000ACHRW-1O,AChruach Wind Farm,Mobius Renewables Gen. (GB2,T,42.600,,False,unknown,-,no graded evidence,True,
T_AFTOW-1,AFTOW-1,,Afton Wind Farm,Afton Wind Farm Limited,T,50.000,,True,north,B,TEC register row 'Afton Wind Farm' hosted by SPT,True,
T_AKGLW-2,AKGLW-2,48W00000AKGLW-22,AIKENGALL II,Aikengall 2 CWCL,T,63.840,,True,north,A,CMIS intertrip arming lists the unit against B6,True,
T_AKGLW-3,AKGLW-3,,AIKENGALL2A-W,AIK2A Sustainable Energy Ltd,T,163.400,,True,north,A,CMIS intertrip arming lists the unit against B6,True,85704.813221502688655561
T_ANSUW-1,ANSUW-1,48W00000ANSUW-1E,An Suidhe 1,Statkraft Markets Gmbh,T,19.360,,False,unknown,-,no graded evidence,True,
T_ARCHW-1,ARCHW-1,48W10000ARCHW-1N,Arecleoch,SP Renewables (UK) Limited,T,114.000,,True,north,B,TEC register row 'Arecleoch' hosted by SPT,True,
T_BDCHW-1,BDCHW-1,,Bad a Cheo Wind Farm,RWE Generation UK plc,T,27.000,,True,north,B,TEC register row 'Bad a Cheo Wind Farm' hosted by SHET,True,15358.911908453750356783
T_BEATO-1,BEATO-1,48W00000BEATO-1T,Beatrice Offshore WF 1,Beatrice Offshore Windfarm Ltd,T,184.000,,False,unknown,-,no graded evidence,True,48282.382751599750463359
T_BEATO-2,BEATO-2,48W00000BEATO-2R,Beatrice Offshore WF 2,Beatrice Offshore Windfarm Ltd,T,166.000,,False,unknown,-,no graded evidence,True,96941.543167525765966274
T_BEATO-3,BEATO-3,48W00000BEATO-3P,Beatrice Offshore WF 3,Beatrice Offshore Windfarm Ltd,T,166.000,,False,unknown,-,no graded evidence,True,114695.775203813483585691
T_BEATO-4,BEATO-4,48W00000BEATO-4N,Beatrice Offshore WF 4,Beatrice Offshore Windfarm Ltd,T,165.526,,False,unknown,-,no graded evidence,True,86170.113362704765222589
T_BEINW-1,BEINW-1,48W00000BEINW-1G,Beinneun Wind farm,Beinneun Wind Farm Ltd,T,108.800,,True,north,B,TEC register row 'Beinneun Wind Farm' hosted by SHET,True,
T_BENBW-1,BENBW-1,,Benbrack WF,Benbrack Wind Farm Limited,T,67.000,,True,north,B,TEC register row 'Benbrack Wind Farm' hosted by SPT,True,4279.743574196933309395
T_BHLAW-1,BHLAW-1,48W00000BHLAW-15,Bhlaraidh Windfarm 1,SSE Generation Ltd,T,108.112,,False,unknown,-,no graded evidence,True,132930.761516638799548675
T_BLKWW-1,BLKWW-1,48W00000BLKWW-1L,Blackcraig Windfarm,Blackcraig Wind Farm Limited,T,56.216,,True,north,B,TEC register row 'Blackcraig Wind Farm' hosted by SPT,True,
T_BLLA-1,BLLA-1,48W000000BLLA-1K,T_BLLA-1,SP Renewables (UK) Limited,T,118.000,,True,north,A,CMIS intertrip arming lists the unit against B6,True,
T_BLLA-2,BLLA-2,48W000000BLLA-2I,Black Law Windfarm Extension,SP Renewables (UK) Limited,T,69.000,,False,unknown,-,no graded evidence,True,25231.758181193299805046
T_BOWLW-1,BOWLW-1,48W00000BOWLW-1K,Barrow Offshore Wind,Barrow Offshore Wind Limited,T,90.000,,False,unknown,-,no graded evidence,True,
T_BRBEO-1,BRBEO-1,48W00000BRBEO-17,BURBO_EXTENSION,Burbo Extension Limited,T,257.700,,False,south,B,TEC register row 'Burbo Bank Extension Offshore Wind Farm' hosted by NGET,True,
T_BROCW-1,BROCW-1,,Broken Cross WF,Smartestenergy Limited,T,48.000,,True,north,B,TEC register row 'Broken Cross Windfarm' hosted by SPT,True,13586.247617533499878473
T_CGTHW-1,CGTHW-1,48W00000CGTHW-1W,Corriegarth WF,Corriegarth Wind Energy LTD,T,69.000,,True,north,B,TEC register row 'Corriegarth' hosted by SHET,True,75452.861120996666426386
T_CLDCW-1,CLDCW-1,48W00000CLDCW-17,Clyde Central,Clyde Windfarm (Scotland) Ltd,T,200.000,,False,unknown,-,no graded evidence,True,
T_CLDNW-1,CLDNW-1,48W00000CLDNW-1Q,Clyde North,Clyde Windfarm (Scotland) Ltd,T,200.000,,False,unknown,-,no graded evidence,True,21685.248462834916267640
T_CLDSW-1,CLDSW-1,48W00000CLDSW-11,Clyde South,Clyde Windfarm (Scotland) Ltd,T,150.000,,True,north,B,TEC register row 'Clyde South' hosted by SPT,True,
T_COUWW-1,COUWW-1,48W00000COUWW-16,Cour Wind Farm,Cour Wind farm (Scotland) Ltd,T,20.500,,True,north,B,TEC register row 'Cour Wind Farm' hosted by SHET,True,
T_CRDEW-1,CRDEW-1,,Crossdykes WF-1,EDF Energy Customers Limited,T,24.000,,False,unknown,-,no graded evidence,True,9077.662996290000364753
T_CRDEW-2,CRDEW-2,,Crossdykes WF-2,EDF Energy Customers Limited,T,24.000,,False,unknown,-,no graded evidence,True,9077.662996290000364753
T_CREAW-1,CREAW-1,,Creag Riabhach Wind Farm,Creag Riabhach Wind Farm Ltd,T,93.000,,True,north,B,TEC register row 'Creag Riabhach Wind Farm' hosted by SHET,True,78615.513431554774342656
T_CRGHW-1,CRGHW-1,48W00000CRGHW-1X,Carraig Gheal Wind Farm,Statkraft Markets Gmbh,T,46.000,,True,north,B,TEC register row 'Carraig Gheal Wind Farm' hosted by SHET,True,51008.991133099999558452
T_CRMLW-1,CRMLW-1,48W00000CRMLW-1E,Corriemoillie,EDF Energy Customers Limited,T,48.000,,True,north,B,TEC register row 'Corriemoillie Wind Farm' hosted by SHET,True,
T_CRYRW-2,CRYRW-2,48W00000CRYRW-2L,Crystal Rig II Windfarm,Eneco Energy Trade,T,150.620,,True,north,A,CMIS intertrip arming lists the unit against B6,True,
T_CRYRW-3,CRYRW-3,,Crystal Rig III,Eneco Energy Trade,T,13.800,,True,north,A,CMIS intertrip arming lists the unit against B6,True,
T_CRYRW-4,CRYRW-4,48W00000CRYRW-4H,Crystal Rig IV Wind Farm,Erova Energy Limited,T,48.200,,True,north,A,CMIS intertrip arming lists the unit against B6,True,
T_CUMHW-1,CUMHW-1,,Cumberhead wind energy limited,Uniper UK Limited,T,52.000,,True,north,B,TEC register row 'Cumberhead' hosted by SPT,True,4865.375437867933328559
T_CUMHW-2,CUMHW-2,48W00000CUMHW-2B,T_CUMHW-2,CUMBERHEAD WEST WIND FARM LTD,T,126.000,,False,unknown,-,no graded evidence,True,
T_DALQW-1,DALQW-1,,Dalquhandy  Wind Farm,Statkraft Markets Gmbh,T,42.846,,True,north,B,TEC register row 'Dalquhandy Wind Farm' hosted by SPT,True,
T_DBAWO-1,DBAWO-1,48W00000DBAWO-1J,Dogger Bank A Offshore WF 1,Doggerbank OWF Project 1,T,302.400,,False,unknown,-,no graded evidence,True,
T_DBAWO-2,DBAWO-2,48W00000DBAWO-2H,Dogger Bank A Offshore WF 2,Doggerbank OWF Project 1,T,304.000,,False,unknown,-,no graded evidence,True,
T_DBAWO-3,DBAWO-3,48W00000DBAWO-3F,Dogger Bank A Offshore WF 3,Doggerbank OWF Project 1,T,302.800,,False,unknown,-,no graded evidence,True,
T_DBAWO-4,DBAWO-4,48W00000DBAWO-4D,Dogger Bank A Offshore WF 4,Doggerbank OWF Project 1,T,152.600,,False,unknown,-,no graded evidence,True,
T_DBAWO-5,DBAWO-5,48W00000DBAWO-5B,Dogger Bank A Offshore WF 5,Doggerbank OWF Project 1,T,138.200,,False,unknown,-,no graded evidence,True,
T_DBBWO-1,DBBWO-1,48W00000DBBWO-1D,Dogger Bank B Offshore WF 1,Doggerbank OWF Project 2,T,302.400,,False,unknown,-,no graded evidence,True,
T_DBBWO-2,DBBWO-2,,Dogger Bank B Offshore WF 2,Doggerbank OWF Project 2,T,304.400,,False,unknown,-,no graded evidence,True,
T_DBBWO-3,DBBWO-3,,Dogger Bank B Offshore WF 3,Doggerbank OWF Project 2,T,302.300,,False,unknown,-,no graded evidence,True,
T_DBBWO-4,DBBWO-4,,Dogger Bank B Offshore WF 4,Doggerbank OWF Project 2,T,152.200,,False,unknown,-,no graded evidence,True,
T_DBBWO-5,DBBWO-5,,Dogger Bank B Offshore WF 5,Doggerbank OWF Project 2,T,138.700,,False,unknown,-,no graded evidence,True,
T_DDGNO-1,DDGNO-1,48W00000DDGNO-1E,Dudgeon Generator BMU 1,Dudgeon Offshore Wind Ltd,T,108.000,,False,unknown,-,no graded evidence,True,
T_DDGNO-2,DDGNO-2,48W00000DDGNO-2C,Dudgeon Generator BMU 2,Dudgeon Offshore Wind Ltd,T,90.000,,False,unknown,-,no graded evidence,True,
T_DDGNO-3,DDGNO-3,48W00000DDGNO-3A,Dudgeon Generator BMU 3,Dudgeon Offshore Wind Ltd,T,102.000,,False,unknown,-,no graded evidence,True,
T_DDGNO-4,DDGNO-4,48W00000DDGNO-48,Dudgeon Generator BMU 4,Dudgeon Offshore Wind Ltd,T,102.000,,False,unknown,-,no graded evidence,True,
T_DNLWW-1,DNLWW-1,,Dunlaw Extension,SP Renewables (UK) Limited,T,29.750,,False,unknown,-,no graded evidence,True,
T_DOREW-1,DOREW-1,,Dorenell Wind Farm One,Dorenell Windfarm Limited,T,114.000,,False,unknown,-,no graded evidence,True,36036.670914029499741103
T_DOREW-2,DOREW-2,,Dorenell Wind Farm Two,Dorenell Windfarm Limited,T,114.000,,False,unknown,-,no graded evidence,True,30362.586795787999129459
T_DOUGW-1,DOUGW-1,,T-DOUGW-1,Erova Energy Limited,T,45.000,,False,unknown,-,no graded evidence,True,9059.382403756666533922
T_DRSLW-1,DRSLW-1,48W00000DRSLW-17,Dersalloch Windfarm,SP Renewables (UK) Limited,T,70.900,,True,north,B,TEC register row 'Dersalloch Wind Farm' hosted by SPT,True,96087.688741083600461934
T_DUNGW-1,DUNGW-1,48W00000DUNGW-14,Dunmglass Windfarm 1,Dunmaglass Wind Farm Limited,T,100.000,,False,unknown,-,no graded evidence,True,
T_DWEXW-1,DWEXW-1,,Douglas West Extension,Douglas West Extension Ltd,T,65.510,,True,north,B,TEC register row 'Douglas West Extension' hosted by SPT,True,
T_EAAO-1,EAAO-1,48W000000EAAO-1R,East Anglia One Offshore 1,East Anglia One Limited,T,358.000,,False,unknown,-,no graded evidence,True,
T_EAAO-2,EAAO-2,48W000000EAAO-2P,East Anglia One Offshore 2,East Anglia One Limited,T,367.000,,False,unknown,-,no graded evidence,True,
T_EDINW-1,EDINW-1,48W10000EDINW-1N,Edinbane Windfarm,Vattenfall Wind Power Ltd,T,41.400,,True,north,B,TEC register row 'Edinbane Windfarm' hosted by SHET,True,
T_ENHLW-1,ENHLW-1,,Enoch Hill Wind Farm,RWE Generation UK plc,T,70.000,,True,north,B,TEC register row 'Enoch Hill' hosted by SPT,True,
T_EWHLW-1,EWHLW-1,48W00000EWHLW-1U,Ewe Hill II Windfarm,SP Renewables (UK) Limited,T,38.000,,False,unknown,-,no graded evidence,True,20358.371193289433605856
